$ kubectl logs -n projet-we -l app=preprocessing --tail=200 --timestamps=true

STDOUT:
2026-05-29T16:04:49.302171482Z INFO:     Started server process [1]
2026-05-29T16:04:49.302206886Z INFO:     Waiting for application startup.
2026-05-29T16:04:49.302550230Z INFO:     Application startup complete.
2026-05-29T16:10:52.567204666Z INFO:     10.244.0.1:54460 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:02.562596381Z INFO:     10.244.0.1:57546 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:12.124032862Z INFO:     10.244.0.1:52344 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:12.560309529Z INFO:     10.244.0.1:52356 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:22.561090583Z INFO:     10.244.0.1:50984 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:32.127477600Z INFO:     10.244.0.1:40710 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:32.564450272Z INFO:     10.244.0.1:40720 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:42.558458267Z INFO:     10.244.0.1:60988 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:52.121060987Z INFO:     10.244.0.1:48188 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:52.558852983Z INFO:     10.244.0.1:48196 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:02.557435881Z INFO:     10.244.0.1:50010 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:12.125161312Z INFO:     10.244.0.1:47518 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:12.555504388Z INFO:     10.244.0.1:47528 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:22.555593147Z INFO:     10.244.0.1:50624 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:32.116879862Z INFO:     10.244.0.1:59944 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:32.555280418Z INFO:     10.244.0.1:59960 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:42.552793808Z INFO:     10.244.0.1:55064 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:52.120585876Z INFO:     10.244.0.1:51672 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:52.559416931Z INFO:     10.244.0.1:51674 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:58.209128031Z INFO:     10.244.0.5:44326 - "POST /preprocess HTTP/1.1" 200 OK
2026-05-29T16:13:02.552680321Z INFO:     10.244.0.1:49544 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:12.115297569Z INFO:     10.244.0.1:58010 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:12.556559922Z INFO:     10.244.0.1:58018 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:22.551230407Z INFO:     10.244.0.1:34134 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:32.111914941Z INFO:     10.244.0.1:41758 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:32.553988302Z INFO:     10.244.0.1:41764 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:42.550298082Z INFO:     10.244.0.1:45416 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:52.109847064Z INFO:     10.244.0.1:51648 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:52.547792116Z INFO:     10.244.0.1:51662 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:14:02.548166112Z INFO:     10.244.0.1:57746 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:14:12.109635857Z INFO:     10.244.0.1:36972 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:14:12.544424743Z INFO:     10.244.0.1:36980 - "GET /health HTTP/1.1" 200 OK


STDERR:

