$ kubectl logs -n projet-we -l app=monitoring --tail=200 --timestamps=true

STDOUT:
2026-05-29T16:04:57.164077935Z INFO:     Started server process [1]
2026-05-29T16:04:57.164170747Z INFO:     Waiting for application startup.
2026-05-29T16:04:57.164512290Z INFO:     Application startup complete.
2026-05-29T16:11:01.826002380Z INFO:     10.244.0.1:58736 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:11.827831229Z INFO:     10.244.0.1:34550 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:12.147104105Z INFO:     10.244.0.1:34558 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:21.825858888Z INFO:     10.244.0.1:38612 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:31.824596276Z INFO:     10.244.0.1:58860 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:32.144830664Z INFO:     10.244.0.1:58876 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:41.823679467Z INFO:     10.244.0.1:43378 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:51.821692046Z INFO:     10.244.0.1:44590 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:11:52.141708197Z INFO:     10.244.0.1:44598 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:01.821530848Z INFO:     10.244.0.1:43862 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:11.830177186Z INFO:     10.244.0.1:52792 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:12.146002203Z INFO:     10.244.0.1:52806 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:21.820292991Z INFO:     10.244.0.1:33326 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:31.818732507Z INFO:     10.244.0.1:39044 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:32.140508908Z INFO:     10.244.0.1:39046 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:41.821478045Z INFO:     10.244.0.1:50304 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:51.818361676Z INFO:     10.244.0.1:36760 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:52.138454163Z INFO:     10.244.0.1:36766 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:12:58.401151336Z INFO:     10.244.0.5:55670 - "POST /events HTTP/1.1" 200 OK
2026-05-29T16:13:01.817678664Z INFO:     10.244.0.1:43796 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:11.816438854Z INFO:     10.244.0.1:43534 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:12.136616431Z INFO:     10.244.0.1:43544 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:21.814159099Z INFO:     10.244.0.1:49548 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:31.814664959Z INFO:     10.244.0.1:41018 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:32.134330361Z INFO:     10.244.0.1:41030 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:41.813484256Z INFO:     10.244.0.1:56958 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:51.814306648Z INFO:     10.244.0.1:60618 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:13:52.132827733Z INFO:     10.244.0.1:60632 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:14:01.812954203Z INFO:     10.244.0.1:44504 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:14:11.812673679Z INFO:     10.244.0.1:45806 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:14:12.132226205Z INFO:     10.244.0.1:45816 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:14:16.419096997Z INFO:     127.0.0.1:36914 - "POST /reset HTTP/1.1" 404 Not Found


STDERR:

